name,name_lc,name_lc_metaphone,name_lc_arpabet
Adam Jamal Craig,adam jamal craig,ATM JML KRK,AE1DAH0M JHAH0MAA1L KREY1G
Adam Larsen Kwarasey,adam larsen kwarasey,ATM LRSN KWRS,AE1DAH0M LAA1RSAH0N KWAA1RAH0SIY0
Adam Leroy Lane,adam leroy lane,ATM LR LN,AE1DAH0M LIY1ROY2 LEY1N
Adam R. Dell,adam r. dell,ATM R TL,AE1DAH0M AA1R . DEH1L
Adam Yahiye Gadahn,adam yahiye gadahn,ATM YHY KTN,AE1DAH0M YAE1HHAY0IH0 GAE1DAH0N
Adam of Bremen,adam of bremen,ATM OF BRMN,AE1DAH0M AH1V BREH1MAH0N
Adam van Koeverden,adam van koeverden,ATM FN KFRTN,AE1DAH0M VAE1N KOW0VEH1RDAH0N
Adam von Trott zu Solz,adam von trott zu solz,ATM FN TRT S SLS,AE1DAH0M VAO1N TRAA1T ZUW1 SAA1LZ
Adela Rogers St. Johns,adela rogers st. johns,ATL RJRS ST JNS,AH0DEH1LAH0 RAA1JHER0Z STRIY1T . JHAA1NZ
Adeline Yen Mah,adeline yen mah,ATLN YN M,AE1DAH0LAY2N YEH1N MAA1
Ademir Marques de Menezes,ademir marques de menezes,ATMR MRKS T MNSS,AH0DEH1MER0 MAA1RKS DIY1 MEY0NEY1ZEH0S
Adilson dos Santos,adilson dos santos,ATLSN TS SNTS,AE1DIH0LSAH0N DAO1S SAE1NTOW0S
Aditi Rao Hydari,aditi rao hydari,ATT R HTR,AH0DIH1TIY0 RAW1 HHIH0DAA1RIY0
Aditya Vikram Birla,aditya vikram birla,ATTY FKRM BRL,AH0DIH1TIY0AH0 VIH1KRAH0M BER1LAH0
Adolfo López Mateos,adolfo lópez mateos,ATLF LPS MTS,AH0DAA1LFOW2 LOW1PEH0Z MEY1TIY0OW2Z
Adolfo Ruiz Cortines,adolfo ruiz cortines,ATLF RS KRTNS,AH0DAA1LFOW2 RUW0WIY1Z KAO0RTIY1NZ
Adolfo de la Huerta,adolfo de la huerta,ATLF T L HRT,AH0DAA1LFOW2 DIY1 LAA1 HHWEH1RTAH2
Adolfo de la Parra,adolfo de la parra,ATLF T L PR,AH0DAA1LFOW2 DIY1 LAA1 PAA1RAH0
Adrian Adolph Greenberg,adrian adolph greenberg,ATRN ATLF KRNBRK,EY1DRIY0AH0N EY1DAO0LF GRIY1NBER0G
Adrian Lewis Morgan,adrian lewis morgan,ATRN LWS MRKN,EY1DRIY0AH0N LUW1IH0S MAO1RGAH0N
Adrian van Hooydonk,adrian van hooydonk,ATRN FN HTNK,EY1DRIY0AH0N VAE1N HHUH1DAH0NGK
Adriano Ferreira Martins,adriano ferreira martins,ATRN FRR MRTNS,AA0DRIY0AA1NOW0 FEH0REY1RAH0 MAA1RTIH0NZ
Adrienne La Russa,adrienne la russa,ATRN L RS,AA0DRIY0EH1N LAA1 RUW1SAH0
Adrián González Morales,adrián gonzález morales,ATRN KNSLS MRLS,EY1DRIY0AH0N GAA0NZAA1LAH0Z MER0AE1LZ
Adrián López Álvarez,adrián lópez álvarez,ATRN LPS ALFRS,EY1DRIY0AH0N LOW1PEH0Z AE1LVER0EH2Z
Affif Ben Badra,affif ben badra,AFF BN BTR,AE1FIH0F BEH1N BAE1DRAH0
Afiea Nusrat Barsha,afiea nusrat barsha,AF NSRT BRX,AH0FIY1AH0 NUW1SRAA2T BAA1RSHAH0
Agatha of Sicily,agatha of sicily,AK0 OF SSL,AE1GAH0THAH0 AH1V SIH1SAH0LIY0
Agathe de La Fontaine,agathe de la fontaine,AK0 T L FNTN,AE1GAH0TH DIY1 LAA1 FAO0NTEY1N
Agathe von Trapp,agathe von trapp,AK0 FN TRP,AE1GAH0TH VAO1N TRAE1P
